ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,907806
2,9.5,霸王别姬,654528
3,9.4,这个杀手不太冷,863462
4,9.4,阿甘正传,734828
5,9.5,美丽人生,429002
6,9.2,千与千寻,685281
7,9.4,辛德勒的名单,394546
8,9.2,泰坦尼克号,675715
9,9.2,盗梦空间,784931
10,9.3,机器人总动员,512123
11,9.2,海上钢琴师,614001
12,9.1,三傻大闹宝莱坞,694607
13,9.2,忠犬八公的故事,471718
14,9.2,放牛班的春天,466757
15,9.2,大话西游之大圣娶亲,504643
16,9.2,教父,353789
17,9.1,龙猫,430656
18,9.1,楚门的世界,472096
19,9.2,乱世佳人,277892
20,9.1,天堂电影院,316918
21,9.1,触不可及,376541
22,8.9,当幸福来敲门,554009
23,9.2,熔炉,263897
24,9.0,无间道,412453
25,9.0,搏击俱乐部,412271
ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,907806
2,9.5,霸王别姬,654528
3,9.4,这个杀手不太冷,863462
4,9.4,阿甘正传,734828
5,9.5,美丽人生,429002
6,9.2,千与千寻,685281
7,9.4,辛德勒的名单,394546
8,9.2,泰坦尼克号,675715
9,9.2,盗梦空间,784931
10,9.3,机器人总动员,512123
11,9.2,海上钢琴师,614001
12,9.1,三傻大闹宝莱坞,694607
13,9.2,忠犬八公的故事,471718
14,9.2,放牛班的春天,466757
15,9.2,大话西游之大圣娶亲,504643
16,9.2,教父,353789
17,9.1,龙猫,430656
18,9.1,楚门的世界,472096
19,9.2,乱世佳人,277892
20,9.1,天堂电影院,316918
21,9.1,触不可及,376541
22,8.9,当幸福来敲门,554009
23,9.2,熔炉,263897
24,9.0,无间道,412453
25,9.0,搏击俱乐部,412271
26,9.4,十二怒汉,176310
27,9.1,星际穿越,500494
28,8.9,怦然心动,565485
29,9.1,指环王3：王者无敌,291391
30,9.0,少年派的奇幻漂流,592287
31,9.0,天空之城,341005
32,9.2,鬼子来了,235291
33,9.0,蝙蝠侠：黑暗骑士,330508
34,8.9,罗马假日,394503
35,9.1,活着,275474
36,8.9,大话西游之月光宝盒,407339
37,9.0,两杆大烟枪,278907
38,8.9,飞屋环游记,507816
39,9.1,窃听风暴,228264
40,9.0,飞越疯人院,282716
41,9.3,海豚湾,184604
42,8.9,闻香识女人,328197
43,8.8,V字仇杀队,424891
44,8.9,哈尔的移动城堡,356359
45,9.6,控方证人,91795
46,9.1,教父2,190496
47,8.9,美丽心灵,309856
48,8.9,死亡诗社,282882
49,8.9,指环王2：双塔奇兵,274738
50,8.9,指环王1：魔戒再现,307166
51,8.8,情书,381092
52,9.1,辩护人,208682
53,8.7,天使爱美丽,488128
54,9.1,美国往事,177680
55,9.1,饮食男女,201591
56,9.2,疯狂动物城,505201
57,9.0,钢琴家,205403
58,8.9,狮子王,285104
59,8.7,七宗罪,440446
60,8.9,被嫌弃的松子的一生,287118
61,8.8,致命魔术,347844
62,9.2,小鞋子,138616
63,8.8,勇敢的心,298027
64,8.7,剪刀手爱德华,488478
65,8.9,音乐之声,233926
66,8.8,低俗小说,337745
67,9.1,素媛,179581
68,8.7,本杰明·巴顿奇事,396957
69,8.8,黑客帝国,283285
70,8.7,沉默的羔羊,356041
71,8.8,入殓师,320817
72,8.9,拯救大兵瑞恩,239377
73,8.7,西西里的美丽传说,350656
74,8.9,玛丽和马克思,233346
75,8.7,蝴蝶效应,384151
76,8.8,春光乍泄,247323
77,8.7,让子弹飞,625557
78,8.7,心灵捕手,271894
79,9.2,大闹天宫,98986
80,8.8,幽灵公主,235550
81,8.7,阳光灿烂的日子,271052
82,8.8,第六感,235845
83,8.6,重庆森林,330813
84,8.7,大鱼,253006
85,8.7,射雕英雄传之东成西就,276690
86,8.6,禁闭岛,359939
87,8.8,甜蜜蜜,232962
88,8.8,阳光姐妹淘,268593
89,8.9,一一,156241
90,8.9,上帝之城,158393
91,8.6,致命ID,318724
92,9.0,狩猎,127271
93,8.7,告白,342595
94,8.9,末代皇帝,164795
95,8.7,布达佩斯大饭店,308088
96,8.6,加勒比海盗,343133
97,8.6,断背山,317840
98,8.7,爱在黎明破晓前,219529
99,9.2,摩登时代,87958
100,8.7,猫鼠游戏,222485
101,8.6,阿凡达,527431
102,8.7,哈利·波特与魔法石,252216
103,8.7,看不见的客人,261339
104,8.8,风之谷,175524
105,8.7,爱在日落黄昏时,197833
106,8.9,穿条纹睡衣的男孩,142718
107,8.8,侧耳倾听,167127
108,8.7,消失的爱人,351872
109,8.7,萤火虫之墓,202770
110,8.8,超脱,171499
111,8.7,驯龙高手,282504
112,8.7,菊次郎的夏天,180102
113,8.6,倩女幽魂,247438
114,8.7,恐怖直播,216646
115,8.6,幸福终点站,223797
116,8.9,红辣椒,131729
117,9.0,海洋,98694
118,9.2,七武士,76734
119,8.6,岁月神偷,305315
120,8.5,神偷奶爸,371403
121,8.7,借东西的小人阿莉埃蒂,214329
122,8.7,电锯惊魂,197382
123,8.7,谍影重重3,179213
124,8.6,杀人回忆,207729
125,8.5,真爱至上,305616
126,8.5,贫民窟的百万富翁,393388
127,8.6,雨人,208515
128,8.7,燃情岁月,148057
129,8.6,东邪西毒,247290
130,8.5,记忆碎片,276843
131,8.9,虎口脱险,106309
132,8.8,喜宴,137698
133,8.9,小森林 夏秋篇,126140
134,8.7,疯狂原始人,366153
135,8.6,怪兽电力公司,235971
136,8.5,喜剧之王,307403
137,8.5,黑天鹅,412530
138,8.8,卢旺达饭店,117817
139,8.5,猜火车,246504
140,8.6,穿越时空的少女,183415
141,8.8,魂断蓝桥,127968
142,8.5,恋恋笔记本,277619
143,8.9,雨中曲,92074
144,8.4,傲慢与偏见,296673
145,8.7,教父3,127738
146,9.0,完美的世界,78395
147,8.7,纵横四海,141680
148,8.6,英雄本色,149397
149,8.7,萤火之森,153478
150,8.8,玩具总动员3,188995
151,8.6,哈利·波特与死亡圣器(下),268505
152,8.5,花样年华,242685
153,8.7,7号房的礼物,170461
154,8.8,二十二,83168
155,8.6,海边的曼彻斯特,164763
156,8.6,人工智能,186900
157,8.8,我是山姆,101053
158,8.7,荒蛮故事,132135
159,8.7,浪潮,129895
160,8.4,香水,271694
161,8.4,冰川时代,265363
162,8.5,朗读者,274497
163,8.9,追随,80504
164,8.9,小森林 冬春篇,108284
165,8.6,撞车,171796
166,8.6,时空恋旅人,193303
167,8.4,唐伯虎点秋香,314831
168,8.7,罗生门,122139
169,8.6,心迷宫,155832
170,8.7,一次别离,129800
171,8.6,超能陆战队,358626
172,8.5,蝙蝠侠：黑暗骑士崛起,288496
173,8.5,战争之王,171726
174,8.7,可可西里,126439
175,8.7,梦之安魂曲,109732
176,8.8,地球上的星星,82192
177,8.7,碧海蓝天,106719
178,8.8,未麻的部屋,93434
179,8.6,爆裂鼓手,230983
180,8.3,恐怖游轮,313100
181,8.3,秒速5厘米,287838
182,8.5,谍影重重2,155707
183,8.5,阿飞正传,176449
184,8.6,达拉斯买家俱乐部,163774
185,8.5,谍影重重,187823
186,8.7,牯岭街少年杀人事件,103739
187,8.6,海盗电台,162861
188,8.9,惊魂记,80511
189,8.4,魔女宅急便,188945
190,8.5,被解救的姜戈,253624
191,8.5,再次出发之纽约遇见你,162469
192,9.2,东京物语,49074
193,8.7,绿里奇迹,103890
194,8.4,青蛇,214427
195,8.7,末路狂花,101761
196,8.5,勇闯夺命岛,138906
197,9.1,迁徙的鸟,51020
198,8.6,荒野生存,124089
199,8.8,哪吒闹海,77510
200,8.6,卡萨布兰卡,121562
201,8.5,终结者2：审判日,137386
202,9.0,忠犬八公物语,55471
203,8.5,这个男人来自地球,173974
204,8.3,源代码,398903
205,8.4,变脸,208954
206,8.6,燕尾蝶,106059
